,year,round,winner,loser,games
165,1998,ds,CLE,BOS,4
166,1998,ds,NYY,TEX,3
167,1998,ds,SDP,HOU,4
168,1998,ds,ATL,CHC,3
169,1998,cs,NYY,CLE,6
170,1998,cs,SDP,ATL,6
171,1998,ws,NYY,SDP,4
172,1999,ds,NYY,TEX,3
173,1999,ds,NYM,ARI,4
174,1999,ds,ATL,HOU,4
175,1999,ds,BOS,CLE,5
176,1999,cs,ATL,NYM,6
177,1999,cs,NYY,BOS,5
178,1999,ws,NYY,ATL,4
179,2000,ds,STL,ATL,3
180,2000,ds,NYY,OAK,5
181,2000,ds,SEA,CHW,3
182,2000,ds,NYM,SFG,4
183,2000,cs,NYY,SEA,6
184,2000,cs,NYM,STL,5
185,2000,ws,NYY,NYM,5
186,2001,ds,SEA,CLE,5
187,2001,ds,ATL,HOU,3
188,2001,ds,ARI,STL,5
189,2001,ds,NYY,OAK,5
190,2001,cs,ARI,ATL,5
191,2001,cs,NYY,SEA,5
192,2001,ws,ARI,NYY,7
193,2002,ds,MIN,OAK,5
194,2002,ds,LAA,NYY,4
195,2002,ds,STL,ARI,3
196,2002,ds,SFG,ATL,5
197,2002,cs,LAA,MIN,5
198,2002,cs,SFG,STL,5
199,2002,ws,LAA,SFG,7
200,2003,ds,NYY,MIN,4
201,2003,ds,CHC,ATL,5
202,2003,ds,MIA,SFG,4
203,2003,ds,BOS,OAK,5
204,2003,cs,MIA,CHC,7
205,2003,cs,NYY,BOS,7
206,2003,ws,MIA,NYY,6
207,2004,ds,STL,LAD,4
208,2004,ds,BOS,LAA,3
209,2004,ds,NYY,MIN,4
210,2004,ds,HOU,ATL,5
211,2004,cs,BOS,NYY,7
212,2004,cs,STL,HOU,7
213,2004,ws,BOS,STL,4
214,2005,ds,CHW,BOS,3
215,2005,ds,LAA,NYY,5
216,2005,ds,STL,SDP,3
217,2005,ds,HOU,ATL,4
218,2005,cs,CHW,LAA,5
219,2005,cs,HOU,STL,6
220,2005,ws,CHW,HOU,4
221,2006,ds,OAK,MIN,3
222,2006,ds,DET,NYY,4
223,2006,ds,STL,SDP,4
224,2006,ds,NYM,LAD,3
225,2006,cs,DET,OAK,4
226,2006,cs,STL,NYM,7
227,2006,ws,STL,DET,5
228,2007,ds,ARI,CHC,3
229,2007,ds,COL,PHI,3
230,2007,ds,BOS,LAA,3
231,2007,ds,CLE,NYY,4
232,2007,cs,COL,ARI,4
233,2007,cs,BOS,CLE,7
234,2007,ws,BOS,COL,4
235,2008,ds,LAD,CHC,3
236,2008,ds,PHI,MIL,4
237,2008,ds,BOS,LAA,4
238,2008,ds,TBR,CHW,4
239,2008,cs,PHI,LAD,5
240,2008,cs,TBR,BOS,7
241,2008,ws,PHI,TBR,5
242,2009,ds,PHI,COL,4
243,2009,ds,LAD,STL,3
244,2009,ds,NYY,MIN,3
245,2009,ds,LAA,BOS,3
246,2009,cs,PHI,LAD,5
247,2009,cs,NYY,LAA,6
248,2009,ws,NYY,PHI,6
249,2010,ds,NYY,MIN,3
250,2010,ds,TEX,TBR,5
251,2010,ds,PHI,CIN,3
252,2010,ds,SFG,ATL,4
253,2010,cs,TEX,NYY,6
254,2010,cs,SFG,PHI,6
255,2010,ws,SFG,TEX,5
256,2011,ds,TEX,TBR,4
257,2011,ds,DET,NYY,5
258,2011,ds,MIL,ARI,5
259,2011,ds,STL,PHI,5
260,2011,cs,TEX,DET,6
261,2011,cs,STL,MIL,6
262,2011,ws,STL,TEX,7
263,2012,wc,BAL,TEX,1
264,2012,wc,STL,ATL,1
265,2012,ds,DET,OAK,5
266,2012,ds,SFG,CIN,5
267,2012,ds,NYY,BAL,5
268,2012,ds,STL,WAS,5
269,2012,cs,DET,NYY,4
270,2012,cs,SFG,STL,7
271,2012,ws,SFG,DET,4
272,2013,wc,PIT,CIN,1
273,2013,wc,TBR,CLE,1
274,2013,ds,STL,PIT,5
275,2013,ds,LAD,ATL,4
276,2013,ds,BOS,TBR,4
277,2013,ds,DET,OAK,5
278,2013,cs,STL,LAD,6
279,2013,cs,BOS,DET,6
280,2013,ws,BOS,STL,6
281,2014,wc,KCR,OAK,1
282,2014,wc,SFG,PIT,1
283,2014,ds,BAL,DET,3
284,2014,ds,KCR,LAA,3
285,2014,ds,SFG,WAS,4
286,2014,ds,STL,LAD,4
287,2014,cs,KCR,BAL,4
288,2014,cs,SFG,STL,5
289,2014,ws,SFG,KCR,7
290,2015,wc,HOU,NYY,1
291,2015,wc,CHC,PIT,1
292,2015,ds,KCR,HOU,5
293,2015,ds,TOR,TEX,5
294,2015,ds,NYM,LAD,5
295,2015,ds,CHC,STL,4
296,2015,cs,KCR,TOR,6
297,2015,cs,NYM,CHC,4
298,2015,ws,KCR,NYM,5
299,2016,wc,TOR,BAL,1
300,2016,wc,SFG,NYM,1
301,2016,ds,TOR,TEX,3
302,2016,ds,CLE,BOS,3
303,2016,ds,CHC,SFG,4
304,2016,ds,LAD,WAS,5
305,2016,cs,CLE,TOR,5
306,2016,cs,CHC,LAD,6
307,2016,ws,CHC,CLE,7
308,2017,wc,NYY,MIN,1
309,2017,wc,ARI,COL,1
310,2017,ds,HOU,BOS,4
311,2017,ds,NYY,CLE,5
312,2017,ds,LAD,ARI,3
313,2017,ds,CHC,WAS,5
314,2017,cs,HOU,NYY,7
315,2017,cs,LAD,CHC,5
316,2017,ws,HOU,LAD,7
317,2018,wc,COL,CHC,1
318,2018,wc,NYY,OAK,1
319,2018,ds,LAD,ATL,4
320,2018,ds,MIL,COL,3
321,2018,ds,HOU,CLE,3
322,2018,ds,BOS,NYY,4
323,2018,cs,LAD,MIL,7
324,2018,cs,BOS,HOU,5
325,2018,ws,BOS,LAD,5
326,2019,wc,WAS,MIL,1
327,2019,wc,TBR,OAK,1
328,2019,ds,STL,ATL,5
329,2019,ds,WAS,LAD,5
330,2019,ds,NYY,MIN,3
331,2019,ds,HOU,TBR,5
332,2019,cs,WAS,STL,4
333,2019,cs,HOU,NYY,6
334,2019,ws,WAS,HOU,7
335,2020,wc,OAK,CHW,3
336,2020,wc,NYY,CLE,2
337,2020,wc,HOU,MIN,2
338,2020,wc,TBR,TOR,2
339,2020,wc,ATL,CIN,2
340,2020,wc,MIA,CHC,2
341,2020,wc,LAD,MIL,2
342,2020,wc,SDP,STL,3
343,2020,ds,HOU,OAK,4
344,2020,ds,TBR,NYY,5
345,2020,ds,ATL,MIA,3
346,2020,ds,LAD,SDP,3
347,2020,cs,TBR,HOU,7
348,2020,cs,LAD,ATL,7
349,2020,ws,LAD,TBR,6
350,2021,wc,BOS,NYY,1
351,2021,wc,LAD,STL,1
352,2021,ds,BOS,TBR,4
353,2021,ds,HOU,CHW,4
354,2021,ds,ATL,MIL,4
355,2021,ds,LAD,SFG,5
356,2021,cs,HOU,BOS,6
357,2021,cs,ATL,LAD,6
358,2021,ws,ATL,HOU,6
359,2022,wc,SDP,NYM,3
360,2022,wc,PHI,STL,2
361,2022,wc,CLE,TBR,2
362,2022,wc,SEA,TOR,2
363,2022,ds,PHI,ATL,4
364,2022,ds,SDP,LAD,4
365,2022,ds,NYY,CLE,5
366,2022,ds,HOU,SEA,3
367,2022,cs,PHI,SDP,5
368,2022,cs,HOU,NYY,4
369,2022,ws,HOU,PHI,6
370,2023,wc,ARI,MIL,2
371,2023,wc,PHI,MIA,2
372,2023,wc,MIN,TOR,2
373,2023,wc,TEX,TBR,2
374,2023,ds,ARI,LAD,3
375,2023,ds,PHI,ATL,4
376,2023,ds,TEX,BAL,3
377,2023,ds,HOU,MIN,4
378,2023,cs,TEX,HOU,7
379,2023,cs,ARI,PHI,7
380,2023,ws,TEX,ARI,5
